Setting_1,Setting_2,Setting_3,LPC_outlet_temperature,Physical_fan_speed,Corrected_core_speed,Burner_fuel_air_ratio
0.5952770900780803,0.7363420427553444,0.0,0.012305699481864885,0.0013525794112050349,0.1097023505365371,0.0
0.4760783660255189,0.8314726840855106,1.0,0.6724648408586233,0.8641503053870707,0.6102452733776218,1.0
0.5952175776042659,0.7387173396674585,0.0,0.014896373056994427,0.00038041295940161035,0.044711292795096114,0.0
1.6663492668063226e-05,0.0003562945368171021,1.0,0.9900999259807541,0.9996829892004993,0.9860756259580974,1.0
0.8332365263759284,0.9976247030878859,1.0,0.18338267949666953,0.6507175011095372,0.6697112927950961,0.0
0.8333555513235573,0.9991686460807602,1.0,0.19337527757216844,0.6508020373227374,0.6558827286663274,0.0
0.23816177870881736,0.29691211401425177,1.0,0.6512768319763129,0.8540693619629307,0.9506259580991312,1.0
0.5951890116168349,0.7385985748218528,0.0,0.01517394522575799,0.0003592789061013235,0.03915431783341816,0.0
0.4762854694343934,0.8323040380047505,1.0,0.6617320503330859,0.8643405118667715,0.6813042922841106,0.0
0.4762307179584841,0.8313539192399049,1.0,0.6608993338267952,0.8643827799733712,0.6935040878896288,0.0
0.9998214625785564,0.9976247030878859,1.0,0.13554774241302692,0.6269416911469445,0.7163387838528337,0.0
0.23814749571510185,0.29691211401425177,1.0,0.647760917838637,0.854153898176131,0.8220809913132356,1.0
0.8333055608455531,0.9976247030878859,1.0,0.1821798667653587,0.6512247183887396,0.710685998978029,0.0
0.23803561226433056,0.29691211401425177,1.0,0.6472982975573647,0.8536889490035291,0.8572751660705151,1.0
0.23804989525804607,0.2984560570071259,1.0,0.6533123612139153,0.854153898176131,0.8015137966274892,1.0
0.9997667111026469,0.9976247030878859,1.0,0.13749074759437452,0.6272798359997465,0.7207141032192119,0.0
0.999897638545039,0.9976247030878859,1.0,0.13110658771280548,0.6269839592535451,0.6996359223300992,0.0
0.9998785945534182,0.9976247030878859,1.0,0.1302738712065139,0.6272164338398456,0.7325306591722054,0.0
6.66539706722529e-05,0.0,1.0,0.9913027387120641,0.9997252573070989,0.9243740419008688,1.0
6.189297276709197e-05,0.0010688836104513063,1.0,0.9924130273871201,0.9998520616268998,1.0140521205927442,1.0
6.66539706722529e-05,0.0011876484560570072,1.0,0.9985196150999256,0.9997886594669989,0.9268331630045985,1.0
0.476214054465816,0.8313539192399049,1.0,0.6660806809770534,0.864234841600271,0.6531361778231997,0.0
0.5951318796419729,0.7363420427553444,0.0,0.010270170244263355,0.0010144345584039982,0.07425268267756735,0.0
0.23804275376118833,0.29691211401425177,1.0,0.6433197631384155,0.85375235116343,0.913387838528358,1.0
2.3804989525804606e-05,0.0017814726840855108,1.0,0.9993523316062172,1.0,1.0737736331119088,1.0
0.9999452485240905,0.9998812351543942,1.0,0.12870096225018557,0.6271107635733459,0.7178078691875314,0.0
0.8331460674157304,0.9976247030878859,1.0,0.18856402664692773,0.6504638924699364,0.6426609606540623,0.0
0.833329365835079,0.9994061757719714,1.0,0.1893967431532193,0.6519221421476429,0.7806911088400632,0.0
0.833267472862312,0.9976247030878859,1.0,0.18948926720947412,0.6512247183887396,0.7229816044966775,0.0
0.5951866311178823,0.7380047505938242,0.0,0.013601036269429656,0.0002958767462013512,0.04748978027593509,0.0
0.9997762330984574,0.9994061757719714,1.0,0.13415988156920733,0.6265612781875438,0.6762583035258025,0.0
0.23818082270043797,0.29691211401425177,1.0,0.6437823834196887,0.8538157533233299,0.918944813490036,1.0
0.23813559322033898,0.29762470308788597,1.0,0.646558105107327,0.8537946192700296,0.9168369954011268,1.0
1.4282993715482764e-05,0.0,1.0,0.9952812731310141,0.9998943297334995,0.9432805314256534,1.0
0.9998857360502761,0.9976247030878859,1.0,0.1322168763878615,0.6271107635733459,0.7039793050587626,0.0
0.23814035421824412,0.29833729216152016,1.0,0.6445225758697264,0.8538791554832299,0.8805569749616744,1.0
0.9999143020377069,0.9983372921615201,1.0,0.13721317542561096,0.6270684954667463,0.7001469085334691,0.0
0.5952985145686536,0.7363420427553444,0.0,0.010640266469281734,0.0016695902107057847,0.12908788962698026,0.0
0.2380570367549038,0.29703087885985746,1.0,0.6486861584011843,0.8537734852167302,0.8902337761880403,1.0
0.9998214625785564,0.9976247030878859,1.0,0.1330495928941522,0.627723651119048,0.7366185487991821,0.0
0.47609979051609214,0.8313539192399049,1.0,0.6588638045891928,0.8644250480799718,0.7088017373530917,0.0
0.4761545419920015,0.8313539192399049,1.0,0.6777387120651364,0.8649111313058739,0.7598045477772111,1.0
0.47627832793753566,0.8325415676959619,1.0,0.6697816432272381,0.8644250480799718,0.6122572815533971,1.0
0.5952366215958864,0.7372921615201901,0.0,0.010270170244263355,0.00042268106600129585,0.03110628513030278,0.0
0.9998381260712244,0.9982185273159145,1.0,0.1354552183567721,0.6267514846672446,0.6808571793561562,0.0
3.570748428870691e-05,0.00166270783847981,1.0,1.0024981495188747,0.9998520616268998,1.2216083290751136,1.0
2.8565987430965527e-05,0.0007125890736342042,1.0,0.993060695780903,1.0,0.835111139499233,1.0
0.47627118644067795,0.8336104513064132,1.0,0.6753330866025165,0.8643193778134712,0.6287365866121633,1.0
